zip_code,retail_establishments,retail_sales,retail_sqft,population,housing_units,occupied_housing_units,renter_occupied_units,retail_sqft_per_housing_unit,retail_establishments_per_housing_unit,retail_sqft_per_capita,retail_establishments_per_capita,cluster,retail_gap,retail_gap_score
60601,217,69675.3,497879,16292.0,10727.0,9629.0,7031.0,46.413629160063394,0.020229327864267736,30.559722563221214,0.013319420574515099,0,14.976212716154407,0.33149851691107596
60602,69,69675.3,574685,1127.0,551.0,551.0,296.0,1042.9854809437386,0.12522686025408347,509.924578527063,0.061224489795918366,2,-464.38864324768736,-10.279244120304195
60603,105,69675.3,792038,1126.0,984.0,719.0,258.0,804.9166666666666,0.10670731707317073,703.4085257548845,0.09325044404973357,2,-657.8725904755089,-14.562011917995674
60604,46,69675.3,363531,653.0,510.0,383.0,219.0,712.8058823529411,0.09019607843137255,556.7090352220521,0.07044410413476264,2,-511.17309994267646,-11.314818220567226
60605,113,69675.3,273160,34256.0,20478.0,18822.0,11187.0,13.339193280593808,0.005518117003613634,7.974077533862681,0.003298692199906586,0,37.56185774551294,0.8314318426868404
60606,149,69675.3,589879,3527.0,3032.0,2637.0,1932.0,194.55112137203167,0.04914248021108179,167.24666855684717,0.04224553444853984,0,-121.71073327747155,-2.694067474757506
60607,281,69675.3,230884,30197.0,16540.0,15037.0,8783.0,13.95912938331318,0.01698911729141475,7.6459250918965465,0.009305560154982283,0,37.89001018747908,0.8386954980511359
60608,266,69675.3,33247,81459.0,32617.0,30070.0,17984.0,1.0193150810926817,0.008155256461354508,0.4081439742692643,0.003265446420898857,1,45.127791305106356,0.9989038064996638
60609,289,69675.3,34300,64268.0,26122.0,23174.0,13533.0,1.3130694433810581,0.011063471403414746,0.5337026202775876,0.004496794672309703,1,45.002232659098034,0.9961245654641633
60610,181,69675.3,477281,45282.0,30091.0,27145.0,17844.0,15.86125419560666,0.006015087567711276,10.540192570999514,0.003997173269731902,3,34.995742708376106,0.7746308780399852
60611,691,0.0,617086,36036.0,28239.0,23564.0,13345.0,21.85226105740288,0.024469705017883068,17.124153624153625,0.019175269175269176,1,28.411781655221997,0.6288948788332837
60612,177,0.0,543556,34699.0,16763.0,14934.0,10333.0,32.425938077909684,0.010558969158265227,15.664889478082943,0.005101011556529007,0,29.87104580129268,0.6611956954263959
60613,175,0.0,358951,51334.0,31263.0,28784.0,17967.0,11.481655631257397,0.005597671368710616,6.992461136868353,0.0034090466357579773,3,38.54347414250727,0.8531599248092459
60614,680,0.0,284329,70444.0,38089.0,34603.0,18989.0,7.464858620599123,0.017852923416209403,4.03624155357447,0.00965305774799841,1,41.49969372580115,0.9185958548470399
60615,67,0.0,729064,42752.0,24997.0,22430.0,15284.0,29.166059927191263,0.0026803216385966316,17.053330838323355,0.0015671781437125748,3,28.482604441052267,0.6304625414267055
60616,180,0.0,752139,54456.0,26912.0,25360.0,15384.0,27.94809007134364,0.0066884661117717,13.811866460996033,0.0033054208902600266,3,31.72406881837959,0.7022123659030243
60617,94,0.0,442315,79284.0,35031.0,30248.0,13251.0,12.626388056292997,0.0026833376152550596,5.578868371928762,0.001185611220422784,3,39.95706690744686,0.8844498052333021
60618,315,0.0,936075,91896.0,41053.0,37745.0,19384.0,22.801622293133267,0.007673008062748155,10.186243144424132,0.0034277879341864715,3,35.34969213495149,0.7824655497420439
60619,108,0.0,526588,59892.0,33547.0,28016.0,15881.0,15.69702208841327,0.003219363877544937,8.792292793695319,0.0018032458425165298,3,36.743642485680304,0.8133206452640132
60620,101,0.0,246584,66511.0,30008.0,25896.0,12994.0,8.217275393228473,0.0033657691282324713,3.707416818270662,0.0015185458044533987,3,41.82851846110496,0.925874391426539
60621,53,0.0,572332,27318.0,15348.0,11382.0,8536.0,37.29033098775085,0.00345321866041178,20.95072845742734,0.0019401127461746834,0,24.585206821948283,0.5441936325221127
60622,204,0.0,847646,53696.0,27630.0,25594.0,14834.0,30.67846543612016,0.00738327904451683,15.78601758045292,0.003799165673420739,3,29.7499176989227,0.6585145244886602
60623,124,0.0,988732,77061.0,31300.0,27450.0,16915.0,31.588881789137382,0.0039616613418530355,12.830510893967118,0.0016091148570612892,3,32.705424385408506,0.7239346745533016
60624,54,0.0,386896,35711.0,16250.0,13435.0,9891.0,23.808984615384617,0.003323076923076923,10.834084735795694,0.0015121391167987454,0,34.70185054357993,0.7681255740216583
60625,169,0.0,58984,78467.0,33932.0,31681.0,18903.0,1.738300129671107,0.004980549333962042,0.7517045382135165,0.002153771649228338,1,44.784230741162105,0.991299092305547
60626,48,0.0,312918,50027.0,26812.0,24103.0,17680.0,11.670819036252425,0.0017902431746978965,6.254982309552841,0.0009594818797849161,3,39.28095296982278,0.869484021037173
60628,73,0.0,274712,59212.0,28736.0,23170.0,9776.0,9.559855233853007,0.002540367483296214,4.63946497331622,0.0012328582044180234,3,40.8964703060594,0.905243502499993
60629,130,0.0,130151,109292.0,36283.0,34229.0,13272.0,3.587106909571976,0.0035829451809387316,1.1908556893459723,0.0011894740694652856,1,44.34507959002965,0.9815784801548415
60630,115,0.0,465808,54242.0,23393.0,21698.0,6805.0,19.912281451716325,0.0049160005129739665,8.58758895320969,0.002120128313852734,0,36.94834632616593,0.8178517654352558
60631,55,0.0,995067,30308.0,12757.0,12144.0,3132.0,78.00164615505213,0.0043113584698596845,32.831826580440804,0.0018147023888082355,0,12.704108698934817,0.2812054871410369
60632,409,0.0,143767,87831.0,28860.0,27058.0,11400.0,4.981531531531531,0.014171864171864171,1.6368594232104838,0.004656670196172195,1,43.89907585616514,0.971706186063198
60633,11,0.0,658663,12485.0,5713.0,4919.0,1875.0,115.29196569228077,0.0019254332224750569,52.75634761714057,0.000881057268722467,0,-7.220412337764948,-0.1598238504500978
60634,108,0.0,713550,74418.0,29344.0,27575.0,7176.0,24.316725736095965,0.0036804798255179933,9.588406030799,0.0014512617915020559,3,35.94752924857662,0.7956986761857779
60636,132,0.0,146330,31007.0,14363.0,11444.0,5623.0,10.18798301190559,0.009190280582051104,4.719256941980843,0.004257103234753443,0,40.81667833739478,0.9034773070155228
60637,87,0.0,490754,52418.0,26717.0,22628.0,16720.0,18.36860425946027,0.0032563536325186213,9.362318287611126,0.001659735205463772,3,36.1736169917645,0.8007031291124987
60638,105,0.0,311648,58250.0,21636.0,20805.0,3968.0,14.404141246071363,0.004853022739877981,5.35018025751073,0.0018025751072961373,0,40.18575502186489,0.889511817385613
60639,227,0.0,698519,84505.0,28656.0,26703.0,13998.0,24.37601200446678,0.007921552205471803,8.266007928524939,0.002686231583929945,3,37.26992735085068,0.8249699624567729
60640,254,0.0,23986,66884.0,40850.0,37727.0,25932.0,0.587172582619339,0.006217870257037943,0.358620895879433,0.003797619759583757,1,45.17731438349619,1.0
60641,148,0.0,596146,67400.0,27377.0,25449.0,12060.0,21.77543193191365,0.005405997735325273,8.844896142433235,0.002195845697329377,3,36.691039136942386,0.8121562699695594
60642,129,0.0,139312,21124.0,12144.0,11379.0,7679.0,11.47167325428195,0.010622529644268774,6.594963075175156,0.0061067979549327776,0,38.94097220420046,0.8619585456904907
60643,111,0.0,22666,47802.0,19541.0,18289.0,4897.0,1.1599201678522082,0.005680364362110435,0.47416426090958536,0.0023220785741182377,0,45.06177101846604,0.9974424472413447
60644,134,0.0,310804,48317.0,20619.0,18748.0,13173.0,15.073669916096804,0.006498860274504098,6.432601361839518,0.002773350994473995,0,39.103333917536105,0.8655524227403172
